url_path,views_total,views_unique
/maziggy/bambuddy,5067,2688
/maziggy/bambuddy/issues,1753,419
/maziggy/bambuddy/releases,545,278
/maziggy/bambuddy/pulls,302,116
/maziggy/bambuddy/blob/main/docker-compose.yml,220,120
/maziggy/bambuddy/releases/tag/v0.2.4,188,139
/maziggy/bambuddy/releases/tag/v0.2.4.1,159,128
/maziggy/bambuddy/tree/main/slicer-api,133,72
/maziggy/bambuddy/blob/main/docs/images/proxy-mode-diagram.png,132,125
/maziggy/bambuddy/releases/tag/v0.2.4.2,132,102
