time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,350,93,782,238
2026-05-11 00:00:00+00:00,579,155,806,262
2026-05-12 00:00:00+00:00,657,214,822,278
2026-05-13 00:00:00+00:00,552,193,994,360
2026-05-14 00:00:00+00:00,805,242,1077,383
2026-05-15 00:00:00+00:00,844,239,1138,387
2026-05-16 00:00:00+00:00,1116,278,1268,402
2026-05-17 00:00:00+00:00,452,179,1247,397
2026-05-18 00:00:00+00:00,1011,204,1355,391
2026-05-19 00:00:00+00:00,1702,165,984,320
2026-05-20 00:00:00+00:00,502,185,860,292
2026-05-21 00:00:00+00:00,491,182,687,242
2026-05-22 00:00:00+00:00,673,187,932,258
2026-05-23 00:00:00+00:00,269,114,916,231
