referrer,views_total,views_unique
bambuddy.cool,2030,895
Google,1729,720
github.com,1383,384
wiki.bambuddy.cool,415,151
forum.bambuddy.cool,163,16
DuckDuckGo,159,92
youtube.com,152,99
search.brave.com,148,78
Bing,65,45
comments.jeffgeerling.com,49,38
