referrer,views_total,views_unique
bambuddy.cool,2022,889
Google,1710,704
github.com,1340,390
wiki.bambuddy.cool,432,150
forum.bambuddy.cool,184,17
youtube.com,173,115
DuckDuckGo,157,91
search.brave.com,147,78
Bing,64,44
comments.jeffgeerling.com,46,35
